"item_name","url","description"
"שעועית לבנה מבושלת","https://www.foodsdictionary.co.il/Products/1/%25D7%25A9%25D7%25A2%25D7%2595%25D7%25A2%25D7%2599%25D7%25AA%2520%25D7%259C%25D7%2591%25D7%25A0%25D7%2594%2520%25D7%259E%25D7%2591%25D7%2595%25D7%25A9%25D7%259C%25D7%25AA%2520%25D7%259C%25D7%259C%25D7%2590%2520","ערך תזונתי של שעועית לבנה מבושלת ללא מלח - FoodsDictionary"
"מתכון שעועית לבנה ברוטב עגבניות","https://www.foodsdictionary.co.il/Recipes/6561&sa=U&ved=2ahUKEwij86aelZSCAxWJd2wGHQe8C-sQFnoECAYQAg&usg=AOvVaw3uxoJbP1ivvGEGFCdKEQBQ","שעועית לבנה ברוטב עגבניות - מתכון - "
"אגוזי מלך","https://www.foodsdictionary.co.il/Products/1/%25D7%2590%25D7%2592%25D7%2595%25D7%2596%25D7%2599%2520%25D7%259E%25D7%259C%25D7%259A%2520%25D7%2590%25D7%25A0%25D7%2592%25D7%259C%25D7%2599%25D7%2599%25D7%259D&sa=U&ved=2ahUKEwiytYm-lZSCAxWjb2wGHbEYChYQFnoECAQ","ערך תזונתי של אגוזי מלך, ערכים תזונתיים - "
"אגוזי לוז","https://www.foodsdictionary.co.il/Products/1/%25D7%2590%25D7%2592%25D7%2595%25D7%2596%25D7%2599%2520%25D7%259C%25D7%2595%25D7%2596&sa=U&ved=2ahUKEwiytYm-lZSCAxWjb2wGHbEYChYQFnoECAIQAg&usg=AOvVaw1qGU8AVbx-6pfftufaYka1","ערך תזונתי של אגוזי לוז, ערכים תזונתיים - "
"פלפל צהוב","https://www.foodsdictionary.co.il/Products/1/%25D7%25A4%25D7%259C%25D7%25A4%25D7%259C%2520%25D7%25A6%25D7%2594%25D7%2595%25D7%2591&sa=U&ved=2ahUKEwjP6PuLlpSCAxUDU2wGHb6nCnoQFnoECAAQAg&usg=AOvVaw1r4HVCLXuBNN_kDu9dsuV-","ערך תזונתי של פלפל צהוב טרי, ערכים תזונתיים - "
"שקדים","https://www.foodsdictionary.co.il/Products/1/%25D7%25A9%25D7%25A7%25D7%2593%25D7%2599%25D7%259D&sa=U&ved=2ahUKEwjv1JmhlpSCAxUQbmwGHUP_BCAQFnoECAAQAg&usg=AOvVaw3K_ob-YbBxBkkoo0isOnYi","ערך תזונתי של שקדים, ערכים תזונתיים - "
"תפוח עץ","https://www.foodsdictionary.co.il/Products/1/%25D7%25AA%25D7%25A4%25D7%2595%25D7%2597%2520%25D7%25A2%25D7%25A5%2520%25D7%25A2%25D7%259D%2520%25D7%25A7%25D7%259C%25D7%2599%25D7%25A4%25D7%2594&sa=U&ved=2ahUKEwj8oOfWtYWCAxWw4DgGHfZADiEQFnoECAIQAg&usg=AOvVaw2","ערך תזונתי של תפוח עץ עם קליפה, ערכים תזונתיים - "
"כרוב","https://www.foodsdictionary.co.il/Products/1/%25D7%259B%25D7%25A8%25D7%2595%25D7%2591&sa=U&ved=2ahUKEwjX2NjvlpSCAxVbd2wGHdckD9kQFnoECAcQAg&usg=AOvVaw2OWh5VEWRMh6QmxxIb1FBZ","ערך תזונתי של כרוב לבן טרי, ערכים תזונתיים - "
"תרד מבושל","https://www.foodsdictionary.co.il/Products/1/%25D7%25AA%25D7%25A8%25D7%2593%2520%25D7%259E%25D7%2591%25D7%2595%25D7%25A9%25D7%259C&sa=U&ved=2ahUKEwjs8pz4lpSCAxWMTWwGHcWgDDIQFnoECAkQAg&usg=AOvVaw1r2AfdJhJPsj2JmSpR93c1","ערך תזונתי של תרד מבושל, ערכים תזונתיים - "
"תרד","https://www.foodsdictionary.co.il/Products/1/%25D7%25AA%25D7%25A8%25D7%2593&sa=U&ved=2ahUKEwjs8pz4lpSCAxWMTWwGHcWgDDIQFnoECAEQAg&usg=AOvVaw15UFugSfGPI1PbJf0zTEKh","ערך תזונתי של תרד טרי, ערכים תזונתיים - "
"תמר מגהול יבש","https://www.foodsdictionary.co.il/Products/1/%25D7%25AA%25D7%259E%25D7%25A8%2520-%2520%25D7%259E%25D7%2592%252560%25D7%2594%25D7%2595%25D7%259C&sa=U&ved=2ahUKEwiGpeWDl5SCAxVDTmwGHWUcCzIQFnoECAMQAg&usg=AOvVaw2GwktBzBN07MlBp1_2PCFF","ערך תזונתי של תמר - מג`הול, ערכים תזונתיים - "
"חלב דל קלוריות מועשר 2%","C:\Users\ShayMoshe\Downloads\MyRecipes\ערך תזונתי של חלב דל קלוריות מועשר 2%, ערכים תזונתיים - FoodsDictionary.html","חלב דל קלוריות מועשר 2%"
"גרנולה תענוג של רפאלס  מתכון","C:\Users\ShayMoshe\Downloads\MyRecipes\גרנולה תענוג של רפאלס - מתכון - FoodsDictionary.html","גרנולה תענוג של רפאלס  מתכון"
"פאבה (ממרח אפונה צהובה)  מתכון","C:\Users\ShayMoshe\Downloads\MyRecipes\פאבה (ממרח אפונה צהובה) - מתכון - FoodsDictionary.html","פאבה (ממרח אפונה צהובה)  מתכון"
"ברוקולי בשמן זית לימון ושום  מתכון","C:\Users\ShayMoshe\Downloads\MyRecipes\ברוקולי בשמן זית, לימון ושום - מתכון - FoodsDictionary.html","ברוקולי בשמן זית לימון ושום  מתכון"
"יין אדום","https://www.foodsdictionary.co.il/Products/1/%25D7%2599%25D7%2599%25D7%259F%2520%25D7%2590%25D7%2593%25D7%2595%25D7%259D&sa=U&ved=2ahUKEwjA0unsg5aCAxVBLLkGHVEvAEwQFnoECAEQAg&usg=AOvVaw29AbyJgqw-C7TqjjTQIKGa","ערך תזונתי של יין אדום, ערכים תזונתיים - "
"דאל עדשים כתומות שלי  מתכון","C:\Users\ShayMoshe\Downloads\MyRecipes\דאל עדשים כתומות שלי - מתכון - FoodsDictionary.html","דאל עדשים כתומות שלי  מתכון"
"קינואה מבושלת","https://www.foodsdictionary.co.il/Products/1/%25D7%25A7%25D7%2599%25D7%25A0%25D7%2595%25D7%2590%25D7%2594%2520%25D7%259E%25D7%2591%25D7%2595%25D7%25A9%25D7%259C%25D7%25AA&sa=U&ved=2ahUKEwjEqMq3h5aCAxW4LrkGHUuzAo4QFnoECAcQAg&usg=AOvVaw19AvzJieXl-XcCzmKXaM7","ערך תזונתי של קינואה מבושלת, ערכים תזונתיים - "
"כוסמת מבושלת-קלויה","https://www.foodsdictionary.co.il/Products/1/%25D7%259B%25D7%2595%25D7%25A1%25D7%259E%25D7%25AA%2520%25D7%259E%25D7%2591%25D7%2595%25D7%25A9%25D7%259C%25D7%25AA-%25D7%25A7%25D7%259C%25D7%2595%25D7%2599%25D7%2594&sa=U&ved=2ahUKEwiLi47juIWCAxVTzjgGHfYQB1YQF","ערך תזונתי של כוסמת מבושלת-קלויה, ערכים תזונתיים - "
"אורז פרא מיקס מבושל","C:\Users\ShayMoshe\Downloads\MyRecipes\אורז פרא מיקס מבושל.html","אורז פרא מיקס מבושל"
"גזר","https://www.foodsdictionary.co.il/Products/1/%25D7%2592%25D7%2596%25D7%25A8&sa=U&ved=2ahUKEwjoponiuZaCAxVXMbkGHYghBCEQFnoECAYQAg&usg=AOvVaw2xCoWSb3b-TmYDHBCo42im","ערך תזונתי של גזר טרי, ערכים תזונתיים - "
"בייגל ביתי","C:\Users\ShayMoshe\Downloads\MyRecipes\בייגל ביתי.html","בייגל ביתי"
"בננה","https://www.foodsdictionary.co.il/Products/1/%25D7%2591%25D7%25A0%25D7%25A0%25D7%2594&sa=U&ved=2ahUKEwiusOKBu5aCAxV0OrkGHTkuDDAQFnoECAUQAg&usg=AOvVaw0ZC4ZJKmuTzLbzCO8N0JC3","ערך תזונתי של בננה, ערכים תזונתיים - "
"מנדרינה","https://www.foodsdictionary.co.il/Products/1/%25D7%259E%25D7%25A0%25D7%2593%25D7%25A8%25D7%2599%25D7%25A0%25D7%2594&sa=U&ved=2ahUKEwiUz-6Hu5aCAxU1HLkGHeSRBjAQFnoECAMQAg&usg=AOvVaw31zw5m3PfnHPhaM7w0Mwje","ערך תזונתי של מנדרינה, ערכים תזונתיים - "
"קלמנטינה","https://www.foodsdictionary.co.il/Products/1/%25D7%25A7%25D7%259C%25D7%259E%25D7%25A0%25D7%2598%25D7%2599%25D7%25A0%25D7%2594&sa=U&ved=2ahUKEwiUz-6Hu5aCAxU1HLkGHeSRBjAQFnoECAkQAg&usg=AOvVaw2T5xEdWaVS2udxNBVnyIrn","ערך תזונתי של קלמנטינה, ערכים תזונתיים - "
"אבוקדו","https://www.foodsdictionary.co.il/Products/1/%25D7%2590%25D7%2591%25D7%2595%25D7%25A7%25D7%2593%25D7%2595&sa=U&ved=2ahUKEwjmxpftu5aCAxUEGbkGHevkAh4QFnoECAcQAg&usg=AOvVaw0LF2LJKiAi70wfoI1ptBlu","ערך תזונתי של אבוקדו, ערכים תזונתיים - "
"מיץ לימון","https://www.foodsdictionary.co.il/Products/1/%25D7%259E%25D7%2599%25D7%25A5%2520%25D7%259C%25D7%2599%25D7%259E%25D7%2595%25D7%259F&sa=U&ved=2ahUKEwj4h7T2u5aCAxWIHrkGHV0_BCEQFnoECAEQAg&usg=AOvVaw08Km4tuWtEZ9N99UY7bN7f","ערך תזונתי של מיץ לימון, ערכים תזונתיים - "
"טחינה גולמית","https://www.foodsdictionary.co.il/Products/1/%D7%98%D7%97%D7%99%D7%A0%D7%94%20%D7%92%D7%95%D7%9C%D7%9E%D7%99%D7%AA%20%2528%D7%9E%D7%96%D7%A8%D7%A2%D7%99%20%D7%A9%D7%95%D7%9E%D7%A9%D7%95%D7%9D%20%D7%98%D7%94%D7%95%D7%A8%2529","ערך תזונתי של טחינה גולמית (מזרעי שומשום טהור) - "
